Tue May 26 17:34:56 2020: Shinsei had Police Teleport happen; Action by Sefegsrgb; Reason: none
Tue May 26 17:39:12 2020: Sefegsrgb had Stat Check happen; Action by Sefegsrgb; Reason: None
Tue May 26 17:52:00 2020: Fry had Spying happen; Action by Sefegsrgb; Reason: none
Tue May 26 17:54:08 2020: Vett had Spying happen; Action by Sefegsrgb; Reason: none
Tue May 26 17:58:24 2020: Fry had Spying happen; Action by Sefegsrgb; Reason: none
Tue May 26 18:17:36 2020: Sefegsrgb had Police Teleport happen; Action by Sefegsrgb; Reason: none
Tue May 26 18:17:36 2020: Fry had Spying happen; Action by Sefegsrgb; Reason: none
Tue May 26 18:46:24 2020: Shinsei had Teleported happen; Action by Sefegsrgb; Reason: None
Tue May 26 18:47:28 2020: Cactus had Summon happen; Action by Sefegsrgb; Reason: Loc: 156, 21, 1
